id,applicant_id,type,detail_json,actor,created_at
47,8,NOTE_ADDED,"{""noteId"":""7""}",Luis Ortega,2026-06-29T19:10:59.000Z
48,12,NOTE_ADDED,"{""noteId"":""8""}",Luis Ortega,2026-06-29T19:30:00.000Z
49,10,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-06-29T19:31:00.000Z
50,10,NOTE_ADDED,"{""noteId"":""9""}",Luis Ortega,2026-06-29T19:32:00.000Z
51,7,CALL_LOGGED,"{""callLogId"":""13""}",Luis Ortega,2026-06-29T20:35:00.000Z
52,7,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-06-29T21:00:35.000Z
53,6,CALL_LOGGED,"{""callLogId"":""14""}",Dana Whitfield,2026-06-30T13:10:00.000Z
54,6,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Withdrawn"",""fromStatusId"":""2"",""toStatusId"":""8""}",Dana Whitfield,2026-06-30T13:19:11.000Z
55,5,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Rejected"",""fromStatusId"":""2"",""toStatusId"":""7""}",Dana Whitfield,2026-06-30T14:55:00.000Z
56,5,NOTE_ADDED,"{""noteId"":""10""}",Dana Whitfield,2026-06-30T14:57:00.000Z
57,13,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-06-30T15:22:00.000Z
58,3,STATUS_CHANGED,"{""from"":""Offer"",""to"":""Hired"",""fromStatusId"":""5"",""toStatusId"":""6""}",Luis Ortega,2026-06-30T16:07:00.000Z
59,3,NOTE_ADDED,"{""noteId"":""11""}",Luis Ortega,2026-06-30T16:10:00.000Z
60,13,CALL_LOGGED,"{""callLogId"":""15""}",Luis Ortega,2026-06-30T18:15:00.000Z
61,9,CALL_LOGGED,"{""callLogId"":""16""}",Luis Ortega,2026-06-30T18:18:00.000Z
62,13,CALL_LOGGED,"{""callLogId"":""17""}",Luis Ortega,2026-06-30T18:57:48.000Z
63,13,CALL_LOGGED,"{""callLogId"":""18""}",Luis Ortega,2026-06-30T19:14:00.000Z
64,13,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-06-30T19:30:23.000Z
65,7,CALL_LOGGED,"{""callLogId"":""19""}",Luis Ortega,2026-06-30T19:39:00.000Z
66,14,APPLICATION_CREATED,"{""source"":""MANUAL""}",,2026-07-01T11:02:00.000Z
67,8,CALL_LOGGED,"{""callLogId"":""20""}",Luis Ortega,2026-07-01T13:41:00.000Z
68,8,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Interview"",""fromStatusId"":""3"",""toStatusId"":""4""}",Luis Ortega,2026-07-01T13:48:07.000Z
69,7,CALL_LOGGED,"{""callLogId"":""21""}",Luis Ortega,2026-07-01T17:10:00.000Z
70,7,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Interview"",""fromStatusId"":""3"",""toStatusId"":""4""}",Luis Ortega,2026-07-01T17:15:46.000Z
71,7,NOTE_ADDED,"{""noteId"":""12""}",Luis Ortega,2026-07-01T17:16:46.000Z
72,9,CALL_LOGGED,"{""callLogId"":""22""}",Luis Ortega,2026-07-01T19:50:00.000Z
73,9,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-07-01T20:09:48.000Z
74,14,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-07-02T14:37:00.000Z
75,13,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Rejected"",""fromStatusId"":""3"",""toStatusId"":""7""}",Luis Ortega,2026-07-02T15:50:00.000Z
76,13,NOTE_ADDED,"{""noteId"":""13""}",Luis Ortega,2026-07-02T15:53:00.000Z
77,9,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Rejected"",""fromStatusId"":""3"",""toStatusId"":""7""}",Luis Ortega,2026-07-03T20:22:00.000Z
78,9,NOTE_ADDED,"{""noteId"":""14""}",Luis Ortega,2026-07-03T20:24:00.000Z
79,15,APPLICATION_CREATED,"{""source"":""REFERRAL""}",,2026-07-05T16:57:00.000Z
80,8,CALL_LOGGED,"{""callLogId"":""23""}",Luis Ortega,2026-07-06T14:47:00.000Z
81,16,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-06T15:19:00.000Z
82,8,CALL_LOGGED,"{""callLogId"":""24""}",Luis Ortega,2026-07-06T15:29:31.000Z
83,8,STATUS_CHANGED,"{""from"":""Interview"",""to"":""Offer"",""fromStatusId"":""4"",""toStatusId"":""5""}",Luis Ortega,2026-07-06T15:43:14.000Z
84,7,NOTE_ADDED,"{""noteId"":""15""}",Luis Ortega,2026-07-06T16:06:00.000Z
85,7,CALL_LOGGED,"{""callLogId"":""25""}",Luis Ortega,2026-07-06T16:43:00.000Z
86,16,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-06T17:26:00.000Z
87,16,NOTE_ADDED,"{""noteId"":""16""}",Dana Whitfield,2026-07-06T17:28:00.000Z
88,15,STATUS_CHANGED,"{""from"":""New"",""to"":""Withdrawn"",""fromStatusId"":""1"",""toStatusId"":""8""}",Dana Whitfield,2026-07-06T18:00:00.000Z
89,15,NOTE_ADDED,"{""noteId"":""17""}",Dana Whitfield,2026-07-06T18:05:00.000Z
90,7,CALL_LOGGED,"{""callLogId"":""26""}",Luis Ortega,2026-07-07T13:01:00.000Z
91,7,STATUS_CHANGED,"{""from"":""Interview"",""to"":""Offer"",""fromStatusId"":""4"",""toStatusId"":""5""}",Luis Ortega,2026-07-07T13:12:22.000Z
92,8,CALL_LOGGED,"{""callLogId"":""27""}",Luis Ortega,2026-07-07T17:46:00.000Z
93,8,STATUS_CHANGED,"{""from"":""Offer"",""to"":""Withdrawn"",""fromStatusId"":""5"",""toStatusId"":""8""}",Luis Ortega,2026-07-07T18:02:28.000Z
94,14,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Rejected"",""fromStatusId"":""2"",""toStatusId"":""7""}",Luis Ortega,2026-07-07T19:21:00.000Z
95,14,NOTE_ADDED,"{""noteId"":""18""}",Luis Ortega,2026-07-07T19:24:00.000Z
96,11,ARCHIVED,{},Dana Whitfield,2026-07-09T13:08:00.000Z
97,6,ARCHIVED,{},Dana Whitfield,2026-07-09T13:30:00.000Z
98,7,STATUS_CHANGED,"{""from"":""Offer"",""to"":""Hired"",""fromStatusId"":""5"",""toStatusId"":""6""}",Luis Ortega,2026-07-10T13:05:00.000Z
99,7,NOTE_ADDED,"{""noteId"":""19""}",Luis Ortega,2026-07-10T13:07:00.000Z
100,17,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-10T20:55:00.000Z
101,18,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-10T23:15:00.000Z
102,19,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-11T17:14:00.000Z
103,20,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-12T16:21:00.000Z
104,15,ARCHIVED,{},Dana Whitfield,2026-07-13T14:05:00.000Z
105,20,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-13T17:09:00.000Z
106,20,NOTE_ADDED,"{""noteId"":""20""}",Dana Whitfield,2026-07-13T17:12:00.000Z
107,3,ARCHIVED,{},Luis Ortega,2026-07-13T17:43:00.000Z
108,17,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-13T17:56:00.000Z
109,19,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-13T19:30:00.000Z
110,19,NOTE_ADDED,"{""noteId"":""21""}",Dana Whitfield,2026-07-13T19:32:00.000Z
111,18,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-07-13T20:58:00.000Z
112,18,NOTE_ADDED,"{""noteId"":""22""}",Luis Ortega,2026-07-13T20:59:00.000Z
113,21,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-14T15:46:00.000Z
114,22,APPLICATION_CREATED,"{""source"":""MANUAL""}",,2026-07-14T19:04:00.000Z
115,23,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-14T20:02:00.000Z
116,23,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-15T17:19:00.000Z
117,23,NOTE_ADDED,"{""noteId"":""23""}",Dana Whitfield,2026-07-15T17:23:00.000Z
118,24,APPLICATION_CREATED,"{""source"":""MANUAL""}",,2026-07-16T18:41:00.000Z
119,22,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-07-16T20:19:00.000Z
120,22,NOTE_ADDED,"{""noteId"":""24""}",Luis Ortega,2026-07-16T20:20:00.000Z
121,22,CALL_LOGGED,"{""callLogId"":""28""}",Luis Ortega,2026-07-17T14:20:00.000Z
122,24,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-17T14:23:00.000Z
123,25,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-17T16:57:00.000Z
124,26,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-17T18:40:00.000Z
125,21,STATUS_CHANGED,"{""from"":""New"",""to"":""Withdrawn"",""fromStatusId"":""1"",""toStatusId"":""8""}",Luis Ortega,2026-07-17T20:24:00.000Z
126,16,ARCHIVED,{},Dana Whitfield,2026-07-18T15:54:00.000Z
127,27,APPLICATION_CREATED,"{""source"":""REFERRAL""}",,2026-07-18T17:32:00.000Z
128,28,APPLICATION_CREATED,"{""source"":""REFERRAL""}",,2026-07-18T22:52:00.000Z
129,29,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-19T19:19:00.000Z
130,22,CALL_LOGGED,"{""callLogId"":""29""}",Luis Ortega,2026-07-20T14:16:00.000Z
131,28,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-20T14:58:00.000Z
132,25,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-07-20T15:08:00.000Z
133,26,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Dana Whitfield,2026-07-20T16:44:00.000Z
134,19,ARCHIVED,{},Dana Whitfield,2026-07-20T17:03:00.000Z
135,27,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-07-20T18:57:00.000Z
136,17,ARCHIVED,{},Dana Whitfield,2026-07-20T20:14:00.000Z
137,30,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-20T20:43:00.000Z
138,29,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-07-21T15:00:00.000Z
139,22,CALL_LOGGED,"{""callLogId"":""30""}",Luis Ortega,2026-07-21T17:17:00.000Z
140,22,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-07-21T17:36:07.000Z
141,30,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-21T18:34:00.000Z
142,27,CALL_LOGGED,"{""callLogId"":""31""}",Luis Ortega,2026-07-21T18:37:00.000Z
143,30,NOTE_ADDED,"{""noteId"":""25""}",Dana Whitfield,2026-07-21T18:39:00.000Z
144,27,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Withdrawn"",""fromStatusId"":""2"",""toStatusId"":""8""}",Luis Ortega,2026-07-21T18:50:48.000Z
145,27,NOTE_ADDED,"{""noteId"":""26""}",Luis Ortega,2026-07-21T18:55:48.000Z
146,26,CALL_LOGGED,"{""callLogId"":""32""}",Dana Whitfield,2026-07-21T20:00:00.000Z
147,31,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-22T12:46:00.000Z
148,32,APPLICATION_CREATED,"{""source"":""REFERRAL""}",,2026-07-22T13:54:00.000Z
149,20,ARCHIVED,{},Dana Whitfield,2026-07-22T16:32:00.000Z
150,29,CALL_LOGGED,"{""callLogId"":""33""}",Luis Ortega,2026-07-22T16:40:00.000Z
151,32,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Dana Whitfield,2026-07-22T16:52:00.000Z
152,26,CALL_LOGGED,"{""callLogId"":""34""}",Dana Whitfield,2026-07-22T17:36:00.000Z
153,32,CALL_LOGGED,"{""callLogId"":""35""}",Dana Whitfield,2026-07-22T17:39:00.000Z
154,32,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Dana Whitfield,2026-07-22T17:55:04.000Z
155,33,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-22T21:55:00.000Z
156,29,CALL_LOGGED,"{""callLogId"":""36""}",Luis Ortega,2026-07-23T16:35:00.000Z
157,32,CALL_LOGGED,"{""callLogId"":""37""}",Dana Whitfield,2026-07-23T17:23:00.000Z
158,34,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-23T17:35:00.000Z
159,32,CALL_LOGGED,"{""callLogId"":""38""}",Dana Whitfield,2026-07-23T18:47:00.000Z
160,32,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Interview"",""fromStatusId"":""3"",""toStatusId"":""4""}",Dana Whitfield,2026-07-23T18:57:01.000Z
161,35,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-24T11:28:00.000Z
162,31,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-07-24T14:23:00.000Z
163,31,NOTE_ADDED,"{""noteId"":""27""}",Luis Ortega,2026-07-24T14:28:00.000Z
164,26,CALL_LOGGED,"{""callLogId"":""39""}",Dana Whitfield,2026-07-24T14:51:00.000Z
165,22,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Rejected"",""fromStatusId"":""3"",""toStatusId"":""7""}",Luis Ortega,2026-07-24T15:23:00.000Z
166,31,CALL_LOGGED,"{""callLogId"":""40""}",Luis Ortega,2026-07-24T16:34:00.000Z
167,32,STATUS_CHANGED,"{""from"":""Interview"",""to"":""Rejected"",""fromStatusId"":""4"",""toStatusId"":""7""}",Dana Whitfield,2026-07-24T17:17:00.000Z
168,34,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-07-24T19:57:00.000Z
169,33,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-07-24T20:18:00.000Z
170,33,NOTE_ADDED,"{""noteId"":""28""}",Luis Ortega,2026-07-24T20:23:00.000Z
171,35,NOTE_ADDED,"{""noteId"":""29""}",Dana Whitfield,2026-07-24T20:23:00.000Z
172,23,ARCHIVED,{},Dana Whitfield,2026-07-26T17:23:00.000Z
173,35,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-27T15:09:00.000Z
174,35,NOTE_ADDED,"{""noteId"":""30""}",Dana Whitfield,2026-07-27T15:13:00.000Z
175,29,CALL_LOGGED,"{""callLogId"":""41""}",Luis Ortega,2026-07-27T15:47:00.000Z
176,28,ARCHIVED,{},Dana Whitfield,2026-07-27T16:16:00.000Z
177,34,CALL_LOGGED,"{""callLogId"":""42""}",Luis Ortega,2026-07-27T17:09:00.000Z
178,34,CALL_LOGGED,"{""callLogId"":""43""}",Luis Ortega,2026-07-27T17:27:00.000Z
179,26,CALL_LOGGED,"{""callLogId"":""44""}",Dana Whitfield,2026-07-27T19:34:00.000Z
180,26,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Dana Whitfield,2026-07-27T19:54:46.000Z
181,31,CALL_LOGGED,"{""callLogId"":""45""}",Luis Ortega,2026-07-27T20:24:00.000Z
182,34,CALL_LOGGED,"{""callLogId"":""46""}",Luis Ortega,2026-07-28T15:21:00.000Z
183,34,CALL_LOGGED,"{""callLogId"":""47""}",Luis Ortega,2026-07-28T16:21:00.000Z
184,34,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-07-28T16:38:06.000Z
185,34,NOTE_ADDED,"{""noteId"":""31""}",Luis Ortega,2026-07-28T16:40:06.000Z
186,31,CALL_LOGGED,"{""callLogId"":""48""}",Luis Ortega,2026-07-28T17:29:00.000Z
187,31,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-07-28T17:48:24.000Z
188,31,NOTE_ADDED,"{""noteId"":""32""}",Luis Ortega,2026-07-28T17:51:24.000Z
189,29,CALL_LOGGED,"{""callLogId"":""49""}",Luis Ortega,2026-07-28T20:31:00.000Z
190,28,RESTORED,{},Dana Whitfield,2026-07-30T02:22:20.000Z
191,34,CALL_LOGGED,"{""callLogId"":""50""}",Luis Ortega,2026-07-30T18:15:00.000Z
192,34,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Interview"",""fromStatusId"":""3"",""toStatusId"":""4""}",Luis Ortega,2026-07-30T18:19:58.000Z
193,36,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-30T18:34:00.000Z
194,31,CALL_LOGGED,"{""callLogId"":""51""}",Luis Ortega,2026-07-30T19:12:00.000Z
195,37,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-30T21:21:00.000Z
196,38,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-31T13:50:00.000Z
197,36,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-07-31T15:10:00.000Z
198,29,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Rejected"",""fromStatusId"":""2"",""toStatusId"":""7""}",Luis Ortega,2026-07-31T17:52:00.000Z
199,29,NOTE_ADDED,"{""noteId"":""33""}",Luis Ortega,2026-07-31T17:53:00.000Z
200,39,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-07-31T18:05:00.000Z
201,23,RESTORED,{},Dana Whitfield,2026-07-31T19:05:39.000Z
202,26,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Rejected"",""fromStatusId"":""3"",""toStatusId"":""7""}",Dana Whitfield,2026-07-31T20:20:00.000Z
203,26,NOTE_ADDED,"{""noteId"":""34""}",Dana Whitfield,2026-07-31T20:23:00.000Z
204,31,CALL_LOGGED,"{""callLogId"":""52""}",Luis Ortega,2026-07-31T20:49:00.000Z
205,31,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Interview"",""fromStatusId"":""3"",""toStatusId"":""4""}",Luis Ortega,2026-07-31T20:56:31.000Z
206,31,NOTE_ADDED,"{""noteId"":""35""}",Luis Ortega,2026-07-31T21:01:31.000Z
207,40,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-07-31T21:37:00.000Z
208,25,ARCHIVED,{},Luis Ortega,2026-08-01T14:13:00.000Z
209,41,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-08-03T00:38:00.000Z
210,42,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-08-03T14:21:00.000Z
211,38,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-08-03T14:40:00.000Z
212,38,NOTE_ADDED,"{""noteId"":""36""}",Luis Ortega,2026-08-03T14:42:00.000Z
213,40,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-08-03T15:00:00.000Z
214,39,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-08-03T15:34:00.000Z
215,39,NOTE_ADDED,"{""noteId"":""37""}",Dana Whitfield,2026-08-03T15:37:00.000Z
216,34,CALL_LOGGED,"{""callLogId"":""53""}",Luis Ortega,2026-08-03T17:06:00.000Z
217,34,STATUS_CHANGED,"{""from"":""Interview"",""to"":""Offer"",""fromStatusId"":""4"",""toStatusId"":""5""}",Luis Ortega,2026-08-03T17:19:59.000Z
218,37,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Dana Whitfield,2026-08-03T18:09:00.000Z
219,42,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-08-04T15:28:00.000Z
