id,applicant_id,body,pinned,created_at
51,44,Needs a pay rate above the range for this role.,false,2026-08-12T16:18:12.000Z
52,55,Prefers text over calls.,true,2026-08-13T20:40:00.000Z
53,57,Prefers text over calls.,true,2026-08-14T19:28:00.000Z
54,56,Resume shows three years of home care. Worth a call.,false,2026-08-14T19:31:00.000Z
55,48,Hired. Paired with a senior caregiver for the first two shifts.,false,2026-08-17T13:27:00.000Z
56,61,Outside the service area with no plans to relocate.,false,2026-08-17T18:45:00.000Z
57,62,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-08-17T20:36:00.000Z
58,54,No response after four call attempts.,false,2026-08-18T16:10:00.000Z
59,56,No phone number on file and no reply to two emails.,false,2026-08-18T17:27:00.000Z
60,58,No phone number on file and no reply to two emails.,false,2026-08-19T16:44:00.000Z
61,64,Outside the service area with no plans to relocate.,false,2026-08-19T16:57:00.000Z
62,66,Accepted a position closer to home.,false,2026-08-20T16:17:00.000Z
63,67,STNA listed on the resume; verify on the phone screen.,false,2026-08-20T20:33:00.000Z
64,67,Cannot cover any of the open shifts.,false,2026-08-21T14:40:58.000Z
65,68,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-08-24T13:31:00.000Z
66,74,Prefers text over calls.,true,2026-08-24T16:28:00.000Z
67,75,Needs shifts that end by 3pm for school pickup.,true,2026-08-24T17:34:00.000Z
68,72,Resume shows three years of home care. Worth a call.,false,2026-08-24T17:38:00.000Z
69,59,Client's family met them and asked to move forward.,false,2026-08-24T19:22:00.000Z
70,69,Needs shifts that end by 3pm for school pickup.,true,2026-08-24T20:15:00.000Z
71,68,Prefers text over calls.,true,2026-08-24T20:33:00.000Z
72,70,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-08-25T14:16:00.000Z
73,63,Wants 30+ hours a week. Can start in two weeks.,false,2026-08-25T17:45:43.000Z
74,77,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-08-26T17:09:00.000Z
75,72,Stopped responding after the phone screen.,false,2026-08-26T18:53:00.000Z
76,78,Short gaps between roles; ask about availability on the call.,false,2026-08-26T20:04:00.000Z
77,74,In-person interview booked at the office.,false,2026-08-26T20:16:34.000Z
78,74,"Solid interview, but another candidate was a better fit for the overnight schedule.",false,2026-08-28T15:54:00.000Z
79,82,Needs shifts that end by 3pm for school pickup.,true,2026-08-31T13:36:00.000Z
80,81,STNA listed on the resume; verify on the phone screen.,false,2026-08-31T17:14:00.000Z
81,87,Outside the service area with no plans to relocate.,false,2026-09-01T13:51:00.000Z
82,84,"Bilingual English and Spanish, which helps with two current clients.",false,2026-09-01T14:31:54.000Z
83,81,Wants 30+ hours a week. Can start in two weeks.,false,2026-09-01T16:30:29.000Z
84,76,In-person interview booked at the office.,false,2026-09-02T14:48:28.000Z
85,96,Applied for an office role; this posting is in-home care.,false,2026-09-04T14:30:00.000Z
86,79,No phone number on file and no reply to two emails.,false,2026-09-04T16:11:00.000Z
87,89,Accepted a position closer to home.,false,2026-09-04T16:37:37.000Z
88,97,Only available weekends. Check before scheduling.,true,2026-09-04T16:38:00.000Z
89,93,Going back to school full time this semester.,false,2026-09-04T16:52:00.000Z
90,85,"Bilingual English and Spanish, which helps with two current clients.",false,2026-09-04T16:55:42.000Z
91,97,Dementia care experience at a memory care unit.,false,2026-09-04T18:42:00.000Z
92,76,Client's family met them and asked to move forward.,false,2026-09-07T14:13:00.000Z
93,115,Worked with us in 2024 and is eligible for rehire.,true,2026-09-07T14:16:00.000Z
94,115,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-09-07T15:13:00.000Z
95,57,Start date confirmed. Orientation packet sent.,false,2026-09-07T17:29:00.000Z
96,98,STNA listed on the resume; verify on the phone screen.,false,2026-09-07T19:07:00.000Z
97,108,STNA listed on the resume; verify on the phone screen.,false,2026-09-07T20:04:00.000Z
98,117,Worked with us in 2024 and is eligible for rehire.,true,2026-09-07T20:09:00.000Z
99,107,Short gaps between roles; ask about availability on the call.,false,2026-09-07T20:57:00.000Z
100,117,Wants 30+ hours a week. Can start in two weeks.,false,2026-09-09T18:19:16.000Z
101,131,Prefers text over calls.,true,2026-09-09T20:59:00.000Z
102,132,Outside the service area with no plans to relocate.,false,2026-09-10T14:29:00.000Z
103,134,Prefers text over calls.,true,2026-09-10T14:56:00.000Z
104,109,No response after four call attempts.,false,2026-09-10T16:32:00.000Z
105,133,No caregiving or personal care experience listed.,false,2026-09-10T20:15:00.000Z
106,124,Wants 30+ hours a week. Can start in two weeks.,false,2026-09-10T20:59:06.000Z
107,65,Start date confirmed. Orientation packet sent.,false,2026-09-11T15:55:00.000Z
108,135,Outside the service area with no plans to relocate.,false,2026-09-11T17:25:00.000Z
109,63,Signed offer. TB test and paperwork scheduled.,false,2026-09-11T18:44:00.000Z
110,134,Outside the service area with no plans to relocate.,false,2026-09-11T18:50:00.000Z
111,76,Signed offer. TB test and paperwork scheduled.,false,2026-09-11T20:41:00.000Z
112,117,Great rapport in the interview. References came back positive.,false,2026-09-14T13:37:00.000Z
113,83,Shadow shift with a senior caregiver went well.,false,2026-09-14T13:41:00.000Z
114,131,Available weekdays 7a to 3p. Has own car and a clean driving record.,false,2026-09-14T16:55:28.000Z
115,91,No phone number on file and no reply to two emails.,false,2026-09-14T18:49:00.000Z
116,117,Signed offer. TB test and paperwork scheduled.,false,2026-09-15T15:05:00.000Z
117,131,In-person interview booked at the office.,false,2026-09-15T18:02:40.000Z
